[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260951
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[  1] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=棣?鐢ㄦ椂 1.29s (score=84 depth=5)
[  2] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=鍗?鐢ㄦ椂 0.74s (score=84 depth=4)
[  3] 绾?i3i4 (6, 8)->(5, 8) 缈诲紑=鍏?鐢ㄦ椂 0.91s (score=78 depth=5)
[  4] 榛?b2b9 (2, 7)->(9, 7) 缈诲紑=璞?鍚?r杌?鐢ㄦ椂 1.04s (score=157 depth=5)
[  5] 绾?b2b9 (7, 1)->(0, 1) 缈诲紑=鍏?鍚?b璞?鐢ㄦ椂 1.51s (score=163 depth=5)
[  6] 榛?i0h0 (0, 0)->(0, 1) 缈诲紑=鍗?鍚?r鍏?鐢ㄦ椂 1.19s (score=82.5 depth=6)
[  7] 绾?a3a4 (6, 0)->(5, 0) 缈诲紑=鐩?鐢ㄦ椂 1.17s (score=80 depth=6)
[  8] 榛?h2h4 (2, 1)->(4, 1) 缈诲紑=棣?鐢ㄦ椂 1.39s (score=56 depth=6)
[  9] 绾?c3c4 (6, 2)->(5, 2) 缈诲紑=杌?鐢ㄦ椂 1.24s (score=79 depth=6)
[ 10] 榛?e4e5 (4, 4)->(5, 4) 鍚?r棣?鐢ㄦ椂 1.23s (score=132 depth=6)
