[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260935
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[  1] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=棣?鐢ㄦ椂 1.30s (score=84 depth=5)
[  2] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=杌?鐢ㄦ椂 0.75s (score=84 depth=4)
[  3] 绾?h2h9 (7, 7)->(0, 7) 缈诲紑=鐐?鍚?b鐐?鐢ㄦ椂 0.98s (score=146 depth=5)
[  4] 榛?h2h9 (2, 1)->(9, 1) 缈诲紑=鍗?鍚?r杌?鐢ㄦ椂 0.99s (score=146 depth=5)
[  5] 绾?a0b0 (9, 0)->(9, 1) 缈诲紑=鍏?鍚?b鍗?鐢ㄦ椂 0.89s (score=73.15384615384615 depth=5)
[  6] 榛?a0b0 (0, 8)->(0, 7) 缈诲紑=鍗?鍚?r鐐?鐢ㄦ椂 1.52s (score=195.5 depth=5)
[  7] 绾?b2e2 (7, 1)->(7, 4) 缈诲紑=棣?鐢ㄦ椂 0.82s (score=43 depth=5)
[  8] 榛?i3i4 (3, 0)->(4, 0) 缈诲紑=杌?鐢ㄦ椂 1.52s (score=76 depth=5)
[  9] 绾?e4d2 (5, 4)->(7, 3)  鐢ㄦ椂 1.01s (score=-7 depth=6)
[ 10] 榛?e4b4 (4, 4)->(4, 7)  鐢ㄦ椂 1.05s (score=-13 depth=5)
[ 11] 绾?h0g2 (9, 7)->(7, 6) 缈诲紑=鍏?鐢ㄦ椂 1.39s (score=36 depth=6)
[ 12] 榛?g3g4 (3, 2)->(4, 2) 缈诲紑=鍗?鐢ㄦ椂 1.54s (score=66 depth=5)
[ 13] 绾?i3i4 (6, 8)->(5, 8) 缈诲紑=浠?鐢ㄦ椂 0.75s (score=83 depth=6)
[ 14] 榛?b4f4 (4, 7)->(4, 3)  鐢ㄦ椂 1.54s (score=15 depth=5)
[ 15] 绾?d2b1 (7, 3)->(8, 1)  鐢ㄦ椂 0.64s (score=-10 depth=5)
[ 16] 榛?c3c4 (3, 6)->(4, 6) 缈诲紑=璞?鐢ㄦ椂 0.71s (score=68 depth=5)
[ 17] 绾?g0i2 (9, 6)->(7, 8) 缈诲紑=鍏?鐢ㄦ椂 1.05s (score=42 depth=5)
[ 18] 榛?b2b8 (2, 7)->(8, 7) 缈诲紑=澹?鐢ㄦ椂 1.04s (score=66 depth=5)
[ 19] 绾?i0i1 (9, 8)->(8, 8) 缈诲紑=浠?鐢ㄦ椂 0.89s (score=-39.0 depth=6)
[ 20] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=璞?鐢ㄦ椂 0.78s (score=61 depth=5)
[ 21] 绾?g3g4 (6, 6)->(5, 6) 缈诲紑=杌?鐢ㄦ椂 0.71s (score=75 depth=6)
[ 22] 榛?c0a2 (0, 6)->(2, 8) 缈诲紑=鐐?鐢ㄦ椂 1.18s (score=32 depth=5)
[ 23] 绾?d0e1 (9, 3)->(8, 4) 缈诲紑=鐐?鐢ㄦ椂 0.93s (score=35 depth=5)
[ 24] 榛?a2e2 (2, 8)->(2, 4)  鐢ㄦ椂 1.51s (score=13 depth=5)
[ 25] 绾?g4f4 (5, 6)->(5, 5)  鐢ㄦ椂 1.53s (score=35 depth=5)
[ 26] 榛?h0i2 (0, 1)->(2, 0) 缈诲紑=棣?鐢ㄦ椂 0.82s (score=28 depth=5)
[ 27] 绾?e1e7 (8, 4)->(2, 4) 鍚?b鐐?鐢ㄦ椂 0.81s (score=127 depth=5)
[ 28] 榛?g0e2 (0, 2)->(2, 4) 缈诲紑=鍗?鍚?r鐐?鐢ㄦ椂 1.14s (score=156 depth=6)
[ 29] 绾?f4a4 (5, 5)->(5, 0)  鐢ㄦ椂 1.51s (score=-39 depth=5)
[ 30] 榛?i4i5 (4, 0)->(5, 0) 鍚?r杌?鐢ㄦ椂 1.05s (score=298 depth=6)
[ 31] 绾?a3a4 (6, 0)->(5, 0) 缈诲紑=鐩?鍚?b杌?鐢ㄦ椂 1.01s (score=380 depth=7)
[ 32] 榛?i2h4 (2, 0)->(4, 1)  鐢ㄦ椂 0.91s (score=5 depth=6)
[ 33] 绾?a4c2 (5, 0)->(7, 2)  鐢ㄦ椂 1.29s (score=-11 depth=6)
[ 34] 榛?i0i9 (0, 0)->(9, 0) 缈诲紑=鍗?鐢ㄦ椂 0.73s (score=83.14285714285714 depth=5)
[ 35] 绾?e2f4 (7, 4)->(5, 5)  鐢ㄦ椂 1.44s (score=-3 depth=6)
[ 36] 榛?f4f8 (4, 3)->(8, 3)  鐢ㄦ椂 1.10s (score=2 depth=6)
[ 37] 绾?f4h3 (5, 5)->(6, 7)  鐢ㄦ椂 1.53s (score=-8 depth=5)
[ 38] 榛?b8c7 (8, 7)->(7, 6) 鍚?r鍏?鐢ㄦ椂 0.73s (score=6 depth=6)
[ 39] 绾?f0e1 (9, 5)->(8, 4) 缈诲紑=鍏?鐢ㄦ椂 0.91s (score=39 depth=7)
[ 40] 榛?c7b6 (7, 6)->(6, 7) 鍚?r棣?鐢ㄦ椂 0.90s (score=111 depth=7)
[ 41] 绾?i4h3 (5, 8)->(6, 7) 鍚?b澹?鐢ㄦ椂 1.53s (score=81 depth=6)
[ 42] 榛?i9h9 (9, 0)->(9, 1) 鍚?r鍏?鐢ㄦ椂 0.80s (score=11 depth=7)
[ 43] 绾?i2i3 (7, 8)->(6, 8)  鐢ㄦ椂 1.52s (score=8 depth=5)
[ 44] 榛?h9g9 (9, 1)->(9, 2) 鍚?r鐩?鐢ㄦ椂 1.52s (score=86 depth=7)
[ 45] 绾?i3i4 (6, 8)->(5, 8)  鐢ㄦ椂 1.53s (score=11 depth=7)
[ 46] 榛?f8h8 (8, 3)->(8, 1) 鍚?r棣?鐢ㄦ椂 0.79s (score=68 depth=7)
[ 47] 绾?i4i5 (5, 8)->(4, 8) 鍚?b璞?鐢ㄦ椂 1.25s (score=70 depth=7)
[ 48] 榛?h8f8 (8, 1)->(8, 3)  鐢ㄦ椂 0.75s (score=37 depth=7)
[ 49] 绾?e0f0 (9, 4)->(9, 5)  鐢ㄦ椂 1.14s (score=-10 depth=7)
[ 50] 榛?f8f9 (8, 3)->(9, 3)  鐢ㄦ椂 1.14s (score=7 depth=7)
[ 51] 绾?f0f1 (9, 5)->(8, 5)  鐢ㄦ椂 1.38s (score=-20 depth=8)
[ 52] 榛?d0e1 (0, 5)->(1, 4) 缈诲紑=澹?鐢ㄦ椂 0.82s (score=52 depth=6)
[ 53] 绾?i5h5 (4, 8)->(4, 7)  鐢ㄦ椂 1.43s (score=21 depth=7)
[ 54] 榛?h4g6 (4, 1)->(6, 2) 鍚?r鍏?鐢ㄦ椂 0.82s (score=98 depth=6)
[ 55] 绾?i1h2 (8, 8)->(7, 7)  鐢ㄦ椂 1.52s (score=25 depth=6)
[ 56] 榛?f9b9 (9, 3)->(9, 7)  鐢ㄦ椂 0.82s (score=-38 depth=6)
[ 57] 绾?h2g1 (7, 7)->(8, 6)  鐢ㄦ椂 1.00s (score=5 depth=7)
[ 58] 榛?b9b6 (9, 7)->(6, 7) 鍚?r浠?鐢ㄦ椂 0.97s (score=63 depth=7)
[ 59] 绾?f1f0 (8, 5)->(9, 5)  鐢ㄦ椂 1.54s (score=20 depth=7)
[ 60] 榛?g9f9 (9, 2)->(9, 3)  鐢ㄦ椂 0.92s (score=2 depth=6)
[ 61] 绾?g1f2 (8, 6)->(7, 5)  鐢ㄦ椂 1.54s (score=5 depth=7)
[ 62] 榛?e0d0 (0, 4)->(0, 5)  鐢ㄦ椂 0.76s (score=-10 depth=6)
[ 63] 绾?f0f1 (9, 5)->(8, 5)  鐢ㄦ椂 1.06s (score=-20 depth=8)
[ 64] 榛?b6b8 (6, 7)->(8, 7)  鐢ㄦ椂 0.97s (score=0 depth=10)
[ 65] 绾?f1f0 (8, 5)->(9, 5)  鐢ㄦ椂 1.51s (score=20 depth=11)
[ 66] 榛?b8d8 (8, 7)->(8, 5)  鐢ㄦ椂 0.69s (score=37 depth=7)
[ 67] 绾?f0f1 (9, 5)->(8, 5) 鍚?b杌?鐢ㄦ椂 1.14s (score=289 depth=9)
[ 68] 榛?e1f2 (1, 4)->(2, 3)  鐢ㄦ椂 1.53s (score=-5 depth=7)
[ 69] 绾?h5g5 (4, 7)->(4, 6) 鍚?b璞?鐢ㄦ椂 1.52s (score=13 depth=7)
