[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy3 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260920
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[  1] 绾?b2b9 (7, 1)->(0, 1) 缈诲紑=浠?鍚?b杌?鐢ㄦ椂 0.95s (score=154 depth=5)
[  2] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=澹?鐢ㄦ椂 1.09s (score=84 depth=5)
[  3] 绾?h2h9 (7, 7)->(0, 7) 缈诲紑=浠?鍚?b鍗?鐢ㄦ椂 1.51s (score=156 depth=5)
[  4] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=鐐?鐢ㄦ椂 0.93s (score=79 depth=5)
[  5] 绾?g0i2 (9, 6)->(7, 8) 缈诲紑=棣?鐢ㄦ椂 0.82s (score=39 depth=5)
[  6] 榛?i3i4 (3, 0)->(4, 0) 缈诲紑=鍗?鐢ㄦ椂 0.95s (score=78 depth=5)
[  7] 绾?i3i4 (6, 8)->(5, 8) 缈诲紑=鐐?鐢ㄦ椂 1.25s (score=80 depth=5)
[  8] 榛?a0b0 (0, 8)->(0, 7) 缈诲紑=鍗?鍚?r浠?鐢ㄦ椂 1.01s (score=92.0 depth=5)
[  9] 绾?g3g4 (6, 6)->(5, 6) 缈诲紑=鍏?鐢ㄦ椂 1.14s (score=74 depth=5)
[ 10] 榛?g3g4 (3, 2)->(4, 2) 缈诲紑=杌?鐢ㄦ椂 1.50s (score=81 depth=5)
[ 11] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=鍏?鐢ㄦ椂 0.70s (score=77 depth=5)
[ 12] 榛?g4g6 (4, 2)->(6, 2) 鍚?r鐩?鐢ㄦ椂 1.02s (score=85 depth=5)
[ 13] 绾?c0e2 (9, 2)->(7, 4) 缈诲紑=鍏?鐢ㄦ椂 1.53s (score=46 depth=5)
[ 14] 榛?b2b4 (2, 7)->(4, 7) 缈诲紑=棣?鐢ㄦ椂 0.93s (score=47 depth=4)
[ 15] 绾?b0d1 (9, 1)->(8, 3) 缈诲紑=鐐?鐢ㄦ椂 0.89s (score=45 depth=5)
[ 16] 榛?i0h0 (0, 0)->(0, 1) 缈诲紑=棣?鍚?r浠?鐢ㄦ椂 1.04s (score=110.5 depth=4)
[ 17] 绾?d1d5 (8, 3)->(4, 3)  鐢ㄦ椂 1.10s (score=-2 depth=5)
[ 18] 榛?g6a6 (6, 2)->(6, 8)  鐢ㄦ椂 0.70s (score=-2 depth=4)
[ 19] 绾?i2g1 (7, 8)->(8, 6)  鐢ㄦ椂 1.61s (score=-14 depth=5)
[ 20] 榛?a6c6 (6, 8)->(6, 6)  鐢ㄦ椂 1.03s (score=2 depth=5)
[ 21] 绾?d5h5 (4, 3)->(4, 7) 鍚?b棣?鐢ㄦ椂 0.88s (score=118 depth=5)
[ 22] 榛?c6c5 (6, 6)->(5, 6) 鍚?r鍏?鐢ㄦ椂 0.59s (score=49 depth=4)
[ 23] 绾?h0i2 (9, 7)->(7, 8) 缈诲紑=杌?鐢ㄦ椂 1.24s (score=39 depth=5)
[ 24] 榛?a4a7 (4, 8)->(7, 8) 鍚?r杌?鐢ㄦ椂 1.52s (score=290 depth=4)
[ 25] 绾?i4i9 (5, 8)->(0, 8)  鐢ㄦ椂 1.60s (score=70 depth=5)
[ 26] 榛?c0a2 (0, 6)->(2, 8) 缈诲紑=鍗?鐢ㄦ椂 0.77s (score=35 depth=5)
[ 27] 绾?g1i2 (8, 6)->(7, 8) 鍚?b鐐?鐢ㄦ椂 1.56s (score=141 depth=5)
[ 28] 榛?e4d5 (4, 4)->(5, 5)  鐢ㄦ椂 0.85s (score=7 depth=5)
[ 29] 绾?h5h4 (4, 7)->(5, 7)  鐢ㄦ椂 0.71s (score=0 depth=5)
