[*] 瑁佸垽鍚姩: pypy3 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260919
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[*] 榛戞柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[  1] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=鍏?鐢ㄦ椂 1.54s (score=84 depth=4)
[  2] 榛?b2b9 (2, 7)->(9, 7) 缈诲紑=鍗?鍚?r杌?鐢ㄦ椂 1.25s (score=157 depth=5)
[  3] 绾?i0h0 (9, 8)->(9, 7) 缈诲紑=鐩?鍚?b鍗?鐢ㄦ椂 0.74s (score=90.0 depth=5)
[  4] 榛?h2h9 (2, 1)->(9, 1) 缈诲紑=鍗?鍚?r浠?鐢ㄦ椂 1.53s (score=160 depth=5)
[  5] 绾?a0b0 (9, 0)->(9, 1) 缈诲紑=鍏?鍚?b鍗?鐢ㄦ椂 1.52s (score=95.14285714285714 depth=5)
[  6] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=璞?鐢ㄦ椂 0.75s (score=78 depth=5)
[  7] 绾?h2h4 (7, 7)->(5, 7) 缈诲紑=鍏?鐢ㄦ椂 1.54s (score=56 depth=5)
[  8] 榛?g3g4 (3, 2)->(4, 2) 缈诲紑=杌?鐢ㄦ椂 1.42s (score=77 depth=6)
[  9] 绾?a3a4 (6, 0)->(5, 0) 缈诲紑=棣?鐢ㄦ椂 1.55s (score=86 depth=5)
[ 10] 榛?g4i4 (4, 2)->(4, 0)  鐢ㄦ椂 0.79s (score=-4 depth=5)
[ 11] 绾?i3i4 (6, 8)->(5, 8) 缈诲紑=鍏?鐢ㄦ椂 1.38s (score=76 depth=6)
[ 12] 榛?i4i5 (4, 0)->(5, 0) 鍚?r棣?鐢ㄦ椂 1.60s (score=110 depth=5)
[ 13] 绾?b2b7 (7, 1)->(2, 1) 缈诲紑=浠?鐢ㄦ椂 1.52s (score=72 depth=5)
[ 14] 榛?i5e5 (5, 0)->(5, 4) 鍚?r鍏?鐢ㄦ椂 1.01s (score=66 depth=6)
[ 15] 绾?c0e2 (9, 2)->(7, 4) 缈诲紑=鍏?鐢ㄦ椂 1.16s (score=56 depth=7)
[ 16] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=鍗?鐢ㄦ椂 1.28s (score=68 depth=6)
[ 17] 绾?i4i5 (5, 8)->(4, 8) 鍚?b璞?鐢ㄦ椂 1.47s (score=70 depth=7)
[ 18] 榛?e5b5 (5, 4)->(5, 7) 鍚?r鍏?鐢ㄦ椂 1.07s (score=31 depth=6)
[ 19] 绾?i5h5 (4, 8)->(4, 7)  鐢ㄦ椂 1.10s (score=21 depth=6)
[ 20] 榛?i3i4 (3, 0)->(4, 0) 缈诲紑=澹?鐢ㄦ椂 1.29s (score=66 depth=6)
[ 21] 绾?d0e1 (9, 3)->(8, 4) 缈诲紑=鐐?鐢ㄦ椂 0.94s (score=47 depth=6)
[ 22] 榛?b5h5 (5, 7)->(5, 1)  鐢ㄦ椂 1.51s (score=0 depth=5)
[ 23] 绾?e1e5 (8, 4)->(4, 4) 鍚?b鍗?鐢ㄦ椂 0.86s (score=24 depth=6)
[ 24] 榛?h5h9 (5, 1)->(9, 1) 鍚?r鍏?鐢ㄦ椂 1.57s (score=39 depth=5)
[ 25] 绾?e0e1 (9, 4)->(8, 4)  鐢ㄦ椂 0.88s (score=-20 depth=7)
[ 26] 榛?h9d9 (9, 1)->(9, 5) 鍚?r棣?鐢ㄦ椂 1.55s (score=119 depth=6)
[ 27] 绾?g0i2 (9, 6)->(7, 8) 缈诲紑=鐐?鐢ㄦ椂 0.99s (score=44 depth=6)
[ 28] 榛?a0a7 (0, 8)->(7, 8) 缈诲紑=澹?鍚?r鐐?鐢ㄦ椂 0.70s (score=173.33333333333334 depth=5)
[ 29] 绾?c3c4 (6, 2)->(5, 2) 缈诲紑=鐩?鐢ㄦ椂 1.50s (score=73 depth=5)
[ 30] 榛?d9c9 (9, 5)->(9, 6)  鐢ㄦ椂 0.89s (score=-38 depth=5)
[ 31] 绾?g3g4 (6, 6)->(5, 6) 缈诲紑=杌?鐢ㄦ椂 1.52s (score=86 depth=6)
[ 32] 榛?c9d9 (9, 6)->(9, 5)  鐢ㄦ椂 1.41s (score=38 depth=6)
[ 33] 绾?g4g6 (5, 6)->(3, 6) 鍚?b鐐?鐢ㄦ椂 0.74s (score=69 depth=6)
[ 34] 榛?c0a2 (0, 6)->(2, 8) 缈诲紑=璞?鐢ㄦ椂 1.51s (score=33 depth=5)
[ 35] 绾?g6e6 (3, 6)->(3, 4)  鐢ㄦ椂 1.09s (score=4 depth=7)
[ 36] 榛?d0e1 (0, 5)->(1, 4) 缈诲紑=杌?鐢ㄦ椂 1.51s (score=23 depth=7)
[ 37] 绾?b7c8 (2, 1)->(1, 2)  鐢ㄦ椂 1.31s (score=-10 depth=6)
[ 38] 榛?e0d0 (0, 4)->(0, 5)  鐢ㄦ椂 0.97s (score=-10 depth=5)
[ 39] 绾?e5e8 (4, 4)->(1, 4) 鍚?b杌?鐢ㄦ椂 0.66s (score=279 depth=6)
[ 40] 榛?f0e1 (0, 3)->(1, 4) 缈诲紑=鐐?鍚?r鐐?鐢ㄦ椂 1.53s (score=152 depth=6)
[ 41] 绾?e6e8 (3, 4)->(1, 4) 鍚?b鐐?鐢ㄦ椂 1.45s (score=152 depth=7)
[ 42] 榛?b0d1 (0, 7)->(1, 5) 缈诲紑=鍗?鐢ㄦ椂 1.51s (score=26 depth=5)
[ 43] 绾?e8d8 (1, 4)->(1, 3)  鐢ㄦ椂 1.22s (score=-14 depth=8)
[ 44] 榛?d1d2 (1, 5)->(2, 5)  鐢ㄦ椂 1.11s (score=10 depth=7)
[ 45] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 1.52s (score=37 depth=7)
[ 46] 榛?d0d1 (0, 5)->(1, 5)  鐢ㄦ椂 0.99s (score=-20 depth=8)
[ 47] 绾?d9c9 (0, 3)->(0, 2) 鍚?b鍗?鐢ㄦ椂 1.53s (score=58 depth=6)
[ 48] 榛?i4h5 (4, 0)->(5, 1)  鐢ㄦ椂 1.14s (score=9 depth=6)
[ 49] 绾?c8b9 (1, 2)->(0, 1) 鍚?b棣?鐢ㄦ椂 1.17s (score=70 depth=7)
[ 50] 榛?i0i9 (0, 0)->(9, 0) 缈诲紑=棣?鐢ㄦ椂 1.18s (score=61.0 depth=6)
[ 51] 绾?c9d9 (0, 2)->(0, 3)  鐢ㄦ椂 1.22s (score=38 depth=6)
[ 52] 榛?h5g6 (5, 1)->(6, 2)  鐢ㄦ椂 0.68s (score=6 depth=5)
[ 53] 绾?e2e3 (7, 4)->(6, 4)  鐢ㄦ椂 0.67s (score=10 depth=6)
[ 54] 榛?i9g8 (9, 0)->(8, 2)  鐢ㄦ椂 1.27s (score=27 depth=6)
[ 55] 绾?h5h6 (4, 7)->(3, 7)  鐢ㄦ椂 0.86s (score=2 depth=6)
[ 56] 榛?d9e9 (9, 5)->(9, 4)  鐢ㄦ椂 1.52s (score=-32 depth=5)
[ 57] 绾?e1f1 (8, 4)->(8, 5)  鐢ㄦ椂 1.53s (score=-10 depth=7)
[ 58] 榛?e9e6 (9, 4)->(6, 4) 鍚?r鍏?鐢ㄦ椂 1.27s (score=7 depth=6)
[ 59] 绾?h6h7 (3, 7)->(2, 7)  鐢ㄦ椂 1.50s (score=17 depth=6)
[ 60] 榛?d1e1 (1, 5)->(1, 4)  鐢ㄦ椂 1.32s (score=10 depth=6)
[ 61] 绾?h0f2 (9, 7)->(7, 5)  鐢ㄦ椂 0.73s (score=14 depth=6)
[ 62] 榛?a2c4 (2, 8)->(4, 6)  鐢ㄦ椂 1.48s (score=-4 depth=6)
[ 63] 绾?h7h8 (2, 7)->(1, 7)  鐢ㄦ椂 1.50s (score=10 depth=6)
[ 64] 榛?e6b6 (6, 4)->(6, 7)  鐢ㄦ椂 1.26s (score=-4 depth=6)
[ 65] 绾?h8g8 (1, 7)->(1, 6)  鐢ㄦ椂 0.72s (score=5 depth=6)
[ 66] 榛?b6d6 (6, 7)->(6, 5)  鐢ㄦ椂 1.44s (score=37 depth=6)
[ 67] 绾?d9f9 (0, 3)->(0, 5)  鐢ㄦ椂 1.06s (score=0 depth=7)
[ 68] 榛?d2d3 (2, 5)->(3, 5)  鐢ㄦ椂 0.80s (score=10 depth=6)
[ 69] 绾?g8f8 (1, 6)->(1, 5)  鐢ㄦ椂 0.76s (score=12 depth=7)
[ 70] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 1.55s (score=-10 depth=6)
[ 71] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 0.71s (score=-32 depth=6)
[ 72] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 1.19s (score=-10 depth=8)
[ 73] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 0.72s (score=32 depth=6)
[ 74] 榛?d3d4 (3, 5)->(4, 5)  鐢ㄦ椂 1.16s (score=13 depth=7)
[ 75] 绾?f1e1 (8, 5)->(8, 4)  鐢ㄦ椂 0.90s (score=10 depth=6)
[ 76] 榛?g6f7 (6, 2)->(7, 3)  鐢ㄦ椂 0.93s (score=3 depth=7)
[ 77] 绾?e1d1 (8, 4)->(8, 3)  鐢ㄦ椂 1.38s (score=-10 depth=8)
[ 78] 榛?d6d7 (6, 5)->(7, 5) 鍚?r鐩?鐢ㄦ椂 0.78s (score=30 depth=7)
[ 79] 绾?b9c8 (0, 1)->(1, 2)  鐢ㄦ椂 1.22s (score=-4 depth=7)
[ 80] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.29s (score=10 depth=7)
[ 81] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.15s (score=-32 depth=7)
[ 82] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.85s (score=-10 depth=8)
[ 83] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.19s (score=32 depth=7)
[ 84] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.35s (score=10 depth=7)
[ 85] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 0.85s (score=-32 depth=6)
[ 86] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.95s (score=-10 depth=8)
[ 87] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.31s (score=32 depth=7)
[ 88] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.25s (score=10 depth=7)
[ 89] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.19s (score=-32 depth=7)
[ 90] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.80s (score=-10 depth=8)
[ 91] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.20s (score=32 depth=7)
[ 92] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.26s (score=10 depth=7)
[ 93] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.16s (score=-32 depth=7)
[ 94] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.78s (score=-10 depth=8)
[ 95] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.23s (score=32 depth=7)
[ 96] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.41s (score=10 depth=7)
[ 97] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 0.74s (score=-32 depth=6)
[ 98] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.85s (score=-10 depth=8)
[ 99] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.22s (score=32 depth=7)
[100] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.43s (score=10 depth=7)
[101] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.36s (score=-32 depth=7)
[102] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 1.26s (score=-10 depth=8)
[103] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.21s (score=32 depth=7)
[104] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.24s (score=10 depth=7)
[105] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.19s (score=-32 depth=7)
[106] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.85s (score=-10 depth=8)
[107] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.17s (score=32 depth=7)
[108] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.24s (score=10 depth=7)
[109] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.14s (score=-32 depth=7)
[110] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.81s (score=-10 depth=8)
[111] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.23s (score=32 depth=7)
[112] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.30s (score=10 depth=7)
[113] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.11s (score=-32 depth=7)
[114] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.81s (score=-10 depth=8)
[115] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.16s (score=32 depth=7)
[116] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.20s (score=10 depth=7)
[117] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 0.65s (score=-32 depth=6)
[118] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.77s (score=-10 depth=8)
[119] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.18s (score=32 depth=7)
[120] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.33s (score=10 depth=7)
[121] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.12s (score=-32 depth=7)
[122] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.84s (score=-10 depth=8)
[123] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.37s (score=32 depth=7)
[124] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.19s (score=10 depth=7)
[125] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.17s (score=-32 depth=7)
[126] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.82s (score=-10 depth=8)
[127] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.21s (score=32 depth=7)
[128] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.36s (score=10 depth=7)
[129] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.15s (score=-32 depth=7)
[130] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.72s (score=-10 depth=8)
[131] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.15s (score=32 depth=7)
[132] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.21s (score=10 depth=7)
[133] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.14s (score=-32 depth=7)
[134] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.84s (score=-10 depth=8)
[135] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.18s (score=32 depth=7)
[136] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.15s (score=10 depth=7)
[137] 绾?f9e9 (0, 5)->(0, 4)  鐢ㄦ椂 1.22s (score=-32 depth=7)
[138] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.97s (score=-10 depth=8)
[139] 绾?e9f9 (0, 4)->(0, 5)  鐢ㄦ椂 1.14s (score=32 depth=7)
[140] 榛?d2e2 (2, 5)->(2, 4)  鐢ㄦ椂 1.47s (score=10 depth=7)
